project,sha,module,brittle,First_true_state-setter_found_at,Positive_prediction(Class1)/Negative_prediction(Class0),Pair-Name
hexagonframework/spring-data-ebean,dd11b97654982403b50dd1d5369cadad71fce410,.,org.springframework.data.ebean.repository.UserRepositoryIntegrationTest.deleteById,1,Class1,org.springframework.data.ebean.repository.UserRepositoryIntegrationTest.deleteById,org.springframework.data.ebean.querychannel.EbeanQueryChannelServiceIntegrationTest.createNamedDtoQuery
hexagonframework/spring-data-ebean,dd11b97654982403b50dd1d5369cadad71fce410,.,org.springframework.data.ebean.repository.UserRepositoryIntegrationTest.exists_example,1,Class1,org.springframework.data.ebean.repository.UserRepositoryIntegrationTest.exists_example,org.springframework.data.ebean.repository.UserRepositoryIntegrationTest.findAll_example_pageable
spring-projects/spring-boot,daa3d457b71896a758995c264977bdd1414ee4d4,spring-boot-project/spring-boot-test,org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListenerTests.test002,1,Class1,org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListenerTests.test002,org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListenerTests.test001
spring-projects/spring-boot,daa3d457b71896a758995c264977bdd1414ee4d4,spring-boot-project/spring-boot-test-autoconfigure,org.springframework.boot.test.autoconfigure.web.servlet.mockmvc.WebMvcTestWebDriverCustomScopeIntegrationTests.shouldBeTheSameWebClient,1,Class1,org.springframework.boot.test.autoconfigure.web.servlet.mockmvc.WebMvcTestWebDriverCustomScopeIntegrationTests.shouldBeTheSameWebClient,org.springframework.boot.test.autoconfigure.web.servlet.mockmvc.WebMvcTestWebDriverCustomScopeIntegrationTests.shouldAutoConfigureWebClient
spring-projects/spring-boot,daa3d457b71896a758995c264977bdd1414ee4d4,spring-boot-project/spring-boot-test-autoconfigure,org.springframework.boot.test.autoconfigure.web.servlet.mockmvc.WebMvcTestWebDriverIntegrationTests.shouldBeADifferentWebClient,1(0+1),Class0,org.springframework.boot.test.autoconfigure.web.servlet.mockmvc.WebMvcTestWebDriverIntegrationTests.shouldBeADifferentWebClient,org.springframework.boot.test.autoconfigure.web.servlet.mockmvc.WebMvcTestWebDriverIntegrationTests.shouldAutoConfigureWebClient
vmware/admiral,e4b02936cc7d4ff2714e7231db0c4373ba5d48a2,compute,com.vmware.admiral.compute.container.GroupResourcePlacementServiceTest.testMemoryPlacementReservationRequest,5(0+5),Class0,com.vmware.admiral.compute.container.GroupResourcePlacementServiceTest.testMemoryPlacementReservationRequest,com.vmware.admiral.compute.container.GroupResourcePlacementServiceTest.testDeleteWhenActiveReservation
wikidata/wikidata-toolkit,20de6f7f12319f54eb962ff6e8357b3f5695d54d,wdtk-dumpfiles,org.wikidata.wdtk.dumpfiles.MwDumpFileProcessingTest.testMwMostRecentFullDumpFileProcessing,1,Class1,org.wikidata.wdtk.dumpfiles.MwDumpFileProcessingTest.testMwMostRecentFullDumpFileProcessing,org.wikidata.wdtk.dumpfiles.wmf.WmfOnlineDailyDumpFileTest.missingDumpProperties
wikidata/wikidata-toolkit,20de6f7f12319f54eb962ff6e8357b3f5695d54d,wdtk-dumpfiles,org.wikidata.wdtk.dumpfiles.MwDumpFileProcessingTest.testMwRecentCurrentDumpFileProcessing,1,Class1,org.wikidata.wdtk.dumpfiles.MwDumpFileProcessingTest.testMwRecentCurrentDumpFileProcessing,org.wikidata.wdtk.dumpfiles.wmf.WmfOnlineDailyDumpFileTest.missingDumpProperties
wikidata/wikidata-toolkit,20de6f7f12319f54eb962ff6e8357b3f5695d54d,wdtk-dumpfiles,org.wikidata.wdtk.dumpfiles.MwDumpFileProcessingTest.testMwDailyDumpFileProcessing,9(0+9),Class0,org.wikidata.wdtk.dumpfiles.MwDumpFileProcessingTest.testMwDailyDumpFileProcessing,org.wikidata.wdtk.dumpfiles.MwDumpFileProcessingTest.testMwRecentFullDumpFileProcessing
wildfly/wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993,naming,org.jboss.as.naming.WritableServiceBasedNamingStoreTestCase.testPermissions,5,Class1,org.jboss.as.naming.WritableServiceBasedNamingStoreTestCase.testPermissions,org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireAllEvent
AVG,,1.15,Class0(.87); Class1(1.33),
